what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.birt.report.designer.ui.views,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.attributes.AttributeView",1339686553812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339686553921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339686556343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339686564875
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1339686565890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339686566171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339686569187
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1339686569796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339686587031
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1339686588296
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.LibraryEditor",1339686588531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339686594640
activated,view,org.eclipse.birt.report.designer.ui.views,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.attributes.AttributeView",1339686600750
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1339686606593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339686607296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339686608468
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1339686608765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339686619000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339686647625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339686653562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339686690875
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1339686692312
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.LibraryEditor",1339686692515
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1339686693687
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.LibraryEditor",1339686696343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339686699453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339686710484
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1339686714125
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1339686715203
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.LibraryEditor",1339686720203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339686721484
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1339686722953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339686723531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339686725781
activated,editor,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.editors.ReportEditor",1339686726187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339686744171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339686886875
